scrape_date,scrape_time,product_name,category,competitor_platform,myntra_price,competitor_price,price_delta,price_delta_pct,parity_flag,data_quality,myntra_img_url,competitor_img_url,myntra_url,competitor_url,myntra_method,comp_method,myntra_status,comp_status,floor_used
2026-05-04,2026-05-04 22:45:07,Max Max Women Printed Mandarin Collar Cotton Tunic,Clothing,Max Fashion,699.0,699.0,0.0,0.0,parity,ok,,"https://media.landmarkshops.in/cdn-cgi/image/h=831,w=615,q=85,fit=cover/max-new/1000015852765-White-OFFWHITE-1000015852765_01-2100.jpg",https://www.myntra.com/tunics/max/max-women-printed-mandarin-collar-cotton-tunic/36858070/buy,https://www.maxfashion.in/in/en/SHOP-Max-White-Women-Printed-Tunic-For-Women/p/1000015852768,requests,selenium,200,200,400
2026-05-04,2026-05-04 22:45:07,L.A Girl La Girl Very Black Gel Eye Liner 3 G,Makeup,LA Girl,575.0,518.0,57.0,11.0,myntra_higher,ok,,,https://www.myntra.com/kajal/l.a+girl/la-girl-very-black-gel-eye-liner-3-g/2156586/buy,https://lagirlindia.com/products/gel-liner-kit,requests,selenium,200,200,150
2026-05-04,2026-05-04 22:45:07,Swiss Beauty Swiss Beauty Waterproof Holographic Eyeliner 02 G Milky Way 01,Makeup,Flipkart,336.0,,,,,missing_price,,,https://www.myntra.com/eyeliner/swiss+beauty/swiss-beauty-waterproof-holographic-eyeliner-02-g---milky-way-01/26300320/buy,https://www.flipkart.com/swiss-beauty-holographic-shimmery-pencil-eyeliner-waterproof-smudge-proof-long-wear-0-2-g/p/itm0031a341af464,requests,failed,200,200,150
2026-05-04,2026-05-04 22:45:07,Swiss Beauty Swiss Beauty Take Me Anywhere Highly Pigmented Face And Eye Palette 12g Day Off,Makeup,Flipkart,584.0,,,,,missing_price,,,https://www.myntra.com/eyeshadow/swiss+beauty/swiss-beauty-take-me-anywhere-highly-pigmented-face-and-eye-palette-12g---day-off/28044862/buy,https://www.flipkart.com/swiss-beauty-face-eye-palette-eyeshadow-blush-contour-highlighter-pigmented-blendable-12-g/p/itm8c7ec3e3d75c7,requests,failed,200,200,150
2026-05-04,2026-05-04 22:45:07,Swiss Beauty Swiss Beauty Bake Me Up 2 In 1 Blush Highlighter 12g Pink Macaron,Makeup,Amazon,254.0,254.0,0.0,0.0,parity,ok,,,https://www.myntra.com/blush/swiss+beauty/swiss-beauty-bake-me-up-2-in-1-blush--highlighter-12g---pink-macaron/37662559/buy,https://amzn.in/d/00aWr0rs,requests,requests,200,200,150
2026-05-04,2026-05-04 22:45:07,Mars Mars 12 Shade Dance Of Joy Eyeshadow Palette 03,Makeup,Amazon,275.0,275.0,0.0,0.0,parity,ok,,https://m.media-amazon.com/images/I/415riJV8w0L._SY300_SX300_QL70_ML2_.jpg,https://www.myntra.com/eyeshadow/mars/mars-12-shade-dance-of-joy-eyeshadow-palette---03/20636086/buy,https://amzn.in/d/0g16yWoV,requests,requests,200,200,150
2026-05-04,2026-05-04 22:45:07,United Colors Of Benetton United Colors Of Benetton Boys Solid Polo Collar Pure Cotton T Shirt,Clothing,Flipkart,1039.0,,,,,missing_price,,,https://www.myntra.com/tshirts/united+colors+of+benetton/united-colors-of-benetton-boys-solid-polo-collar-pure-cotton-t-shirt/32135636/buy,https://www.flipkart.com/united-colors-benetton-boys-solid-pure-cotton-regular-t-shirt/p/itm70b49a334e638,requests,failed,200,200,400
2026-05-04,2026-05-04 22:45:07,United Colors Of Benetton United Colors Of Benetton Men Solid Round Neck T Shirt,Clothing,Amazon,499.0,460.0,39.0,8.48,parity,ok,,https://m.media-amazon.com/images/I/31uukCSTi4L._SX342_SY445_QL70_FMwebp_.jpg,https://www.myntra.com/tshirts/united+colors+of+benetton/united-colors-of-benetton-men-solid-round-neck-t-shirt/36282539/buy,https://amzn.in/d/0apZifdy,requests,requests,200,200,400
2026-05-04,2026-05-04 22:45:07,Crocs Crocs Unisex Self Design Lightweight Clogs,Footwear,Amazon,3147.0,4495.0,-1348.0,-29.99,myntra_lower,ok,,https://m.media-amazon.com/images/I/41xfaJkZA7L._SY395_SX395_QL70_FMwebp_.jpg,https://www.myntra.com/flip-flops/crocs/crocs-unisex-self-design-lightweight-clogs/31762737/buy,https://amzn.in/d/0h81OIEP,requests,requests,200,200,300
2026-05-04,2026-05-04 22:45:07,Crocs Crocs Baya Marbled Clog Unisex,Footwear,Amazon,4396.0,4396.0,0.0,0.0,parity,ok,,https://m.media-amazon.com/images/I/41uWmpeSVwL._SY395_SX395_QL70_FMwebp_.jpg,https://www.myntra.com/flip-flops/crocs/crocs-baya-marbled-clog-unisex/26787828/buy,https://amzn.in/d/0fNLDqg3,requests,requests,200,200,300
